rank,method,family,total_score,total_objective,total_penalty,is_valid,evaluation_num,seed,mask_id,param_threshold,param_wavelength_px,porosity,heat_exchange_area_proxy,hydraulic_resistance_proxy,flow_connectivity_score,dead_zone_fraction
1,genetic_algorithm,diamond_2d,2049.6435058967345,2049.6435058967345,0.0,True,85,1127,diamond_2d_s1127_eval85_gen5,-0.1371316497312011,15.513267309547823,0.628,2049.9033926305146,0.5197734675605746,1.0,0.0
2,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,3,1045,diamond_2d_s1045_eval3_gen0,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
3,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,26,1068,diamond_2d_s1068_eval26_gen1,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
4,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,42,1084,diamond_2d_s1084_eval42_gen2,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
5,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,44,1086,diamond_2d_s1086_eval44_gen2,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
6,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,45,1087,diamond_2d_s1087_eval45_gen2,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
7,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,52,1094,diamond_2d_s1094_eval52_gen3,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
8,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,53,1095,diamond_2d_s1095_eval53_gen3,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
9,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,54,1096,diamond_2d_s1096_eval54_gen3,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
10,genetic_algorithm,diamond_2d,1974.144016641784,1974.144016641784,0.0,True,59,1101,diamond_2d_s1101_eval59_gen3,-0.16100461752656836,15.513267309547823,0.653,1974.3755285855145,0.4630238874609025,1.0,0.0
